accelerometer,,,
Timestamp (ms),x (m/s^2),y-acc (m/s^2),z-acc(m/s^2)
1485644720871,-1.3984375,-0.046875,-0.14941406
1485644720876,-1.4433594,-0.023925781,-0.09277344
1485644720880,-1.4008789,-0.056152344,-0.047851563
1485644720886,-1.0600586,-0.25878906,-0.0078125
1485644720890,-0.45361328,-0.32958984,0.00390625
1485644720898,-0.05859375,-0.2446289,0.08691406
1485644720900,0.079589844,-0.20654297,0.083984375
1485644720908,0.1171875,-0.26220703,0.09082031
1485644720911,0.015136719,-0.2993164,0.06201172
1485644720915,-0.14257813,-0.4013672,0.06347656
1485644720921,-0.28515625,-0.5175781,0.06201172
1485644720925,-0.33447266,-0.6123047,0.07421875
1485644720931,-0.31396484,-0.69091797,0.1665039
1485644720936,-0.28076172,-0.70654297,0.21191406
1485644720941,-0.24658203,-0.6958008,0.2368164
1485644720946,-0.2421875,-0.7338867,0.2553711
1485644720950,-0.30810547,-0.7705078,0.29833984
1485644720956,-0.40722656,-0.86083984,0.2919922
1485644720961,-0.4423828,-0.9042969,0.32421875
1485644720966,-0.50878906,-0.93408203,0.30371094
1485644720971,-0.58984375,-0.9707031,0.29638672
1485644720975,-0.65771484,-0.99560547,0.31591797
1485644720981,-0.7675781,-1.0029297,0.2397461
1485644720985,-0.83935547,-0.9980469,0.17675781
1485644720991,-0.94091797,-0.94628906,0.12402344
1485644720996,-1.0688477,-0.9057617,0.14111328
1485644721002,-1.1474609,-0.8408203,0.25146484
1485644721006,-1.2016602,-0.80566406,0.22167969
1485644721010,-1.3032227,-0.77685547,0.22509766
1485644721016,-1.3857422,-0.7060547,0.24121094
1485644721021,-1.3852539,-0.6376953,0.18847656
1485644721026,-1.3583984,-0.6333008,0.20361328
1485644721031,-1.3945313,-0.5800781,0.15771484
1485644721037,-1.359375,-0.51660156,0.025390625
1485644721044,-1.3032227,-0.45361328,-0.001953125
1485644721045,-1.2856445,-0.3725586,-0.1616211
1485644721051,-1.2553711,-0.39746094,-0.19921875
1485644721056,-1.2543945,-0.39746094,-0.119628906
1485644721062,-1.2211914,-0.38476563,-0.059570313
1485644721066,-1.1435547,-0.3310547,0.00390625
1485644721070,-1.050293,-0.27685547,0.009765625
1485644721076,-0.9609375,-0.25976563,-0.1616211
1485644721081,-0.8618164,-0.2602539,-0.19921875
1485644721086,-0.80029297,-0.28027344,-0.041503906
1485644721094,-0.65771484,-0.33251953,-0.23339844
1485644721095,-0.6015625,-0.38427734,-0.39501953
1485644721103,-0.60253906,-0.4580078,-0.38085938
1485644721106,-0.60253906,-0.55615234,-0.41308594
1485644721111,-0.5932617,-0.58691406,-0.45458984
1485644721116,-0.48486328,-0.64404297,-0.47216797
1485644721122,-0.38476563,-0.59375,-0.50683594
1485644721126,-0.28076172,-0.5385742,-0.5151367
1485644721130,-0.21582031,-0.37158203,-0.67871094
1485644721136,-0.095214844,-0.3671875,-0.8022461
1485644721142,0.052246094,-0.3017578,-0.90625
1485644721147,0.22753906,-0.3618164,-1.0981445
1485644721151,0.1928711,-0.2993164,-1.3071289
1485644721155,0.12060547,-0.22167969,-1.09375
1485644721161,0.2319336,-0.36669922,-1.2456055
1485644721166,0.16259766,-0.4008789,-1.0527344
1485644721171,0.10888672,-0.4013672,-1.0498047
1485644721176,0.14941406,-0.46240234,-0.9604492
1485644721182,0.2788086,-0.5551758,-0.7128906
1485644721186,0.47705078,-0.6298828,-0.66748047
1485644721190,0.60253906,-0.71533203,-0.59472656
1485644721196,0.7294922,-0.72558594,-0.50146484
1485644721201,0.828125,-0.86279297,-0.55322266
1485644721207,0.7685547,-0.984375,-0.6611328
1485644721211,0.6611328,-1.1816406,-0.68115234
1485644721215,0.62109375,-1.2329102,-0.65966797
1485644721221,0.60839844,-1.4521484,-0.60791016
1485644721226,0.5541992,-1.284668,-0.48828125
1485644721232,0.69433594,-1.3198242,-0.46289063
1485644721236,0.7832031,-1.171875,-0.50927734
1485644721242,1.0449219,-1.128418,-0.67041016
1485644721248,1.3012695,-1.0136719,-0.58935547
1485644721251,1.4272461,-1.0131836,-0.59228516
1485644721256,1.3769531,-1.078125,-0.33740234
1485644721261,1.1152344,-1.1791992,-6.052246
1485644721267,0.96435547,-1.2119141,-7.661133
1485644721271,0.9580078,-1.3198242,-2.4033203
1485644721275,0.9794922,-1.3955078,3.5180664
1485644721281,0.8803711,-1.472168,4.9282227
1485644721286,0.74560547,-1.5078125,3.709961
1485644721292,0.6088867,-1.4912109,1.8886719
1485644721296,0.48095703,-1.4360352,0.43701172
1485644721302,0.40625,-1.4326172,-0.35742188
1485644721306,0.45507813,-1.4033203,0.18945313
1485644721311,0.56347656,-1.4130859,0.033203125
1485644721316,0.51220703,-1.3652344,-0.33789063
1485644721321,0.36035156,-1.3339844,-0.5644531
1485644721327,0.50390625,-1.8686523,-0.81689453
1485644721331,0.13916016,-8.227539,-0.70703125
1485644721337,-1.3598633,-3.479004,-0.5292969
1485644721341,-2.2045898,0.46240234,-0.51708984
1485644721346,-0.27294922,1.8452148,-0.43408203
1485644721352,2.6674805,1.6972656,-0.27246094
1485644721356,3.8203125,1.7792969,-0.110839844
1485644721362,4.0722656,0.9194336,0.29541016
1485644721366,2.3442383,-0.7167969,1.0385742
1485644721371,1.074707,-1.5629883,-0.6801758
1485644721377,-0.15673828,-1.7011719,-0.40039063
1485644721381,-0.9111328,-1.6503906,1.3022461
1485644721387,-0.95166016,-1.8286133,0.5292969
1485644721391,-0.7939453,-1.9248047,-0.25146484
1485644721397,-0.6879883,-1.9521484,0.39453125
1485644721401,-0.75634766,-1.8681641,0.2836914
1485644721406,-0.9082031,-1.7958984,-0.4711914
1485644721412,-0.91748047,-1.7456055,-0.3383789
1485644721416,-0.7421875,-1.5512695,-0.44726563
1485644721422,-0.5004883,-1.2397461,-0.68896484
1485644721426,-0.23388672,-0.97216797,-0.6191406
1485644721432,0.008300781,-0.41552734,-0.77783203
1485644721437,0.90722656,-0.23339844,-0.61328125
1485644721442,0.51123047,-4.88E-04,-0.4375
1485644721447,1.0014648,-0.1381836,-0.28857422
1485644721451,0.022949219,-0.47753906,-0.28271484
1485644721457,-0.6245117,-0.7685547,-0.072753906
1485644721461,-0.9682617,-0.7421875,-0.072753906
1485644721466,-0.6611328,-0.8227539,-0.31933594
1485644721472,-0.17089844,-1.0756836,-0.20361328
1485644721476,0.17822266,-1.0161133,-0.2626953
1485644721482,0.38085938,-0.9614258,-0.23876953
1485644721486,0.4272461,-1.0478516,0.05517578
1485644721492,0.35986328,-1.0791016,-0.3881836
1485644721497,0.34423828,-1.1323242,-0.55371094
1485644721501,0.24951172,-1.0356445,0.071777344
1485644721507,0.45898438,-1.1489258,-0.15722656
1485644721511,0.44726563,-1.0102539,-0.5097656
1485644721517,0.43164063,-0.9819336,-0.2788086
1485644721522,0.5473633,-1.0131836,-0.12402344
1485644721526,0.6308594,-0.88378906,-0.17822266
1485644721532,0.6166992,-0.93896484,-0.036132813
1485644721536,0.61279297,-1.0595703,-0.27441406
1485644721542,0.53466797,-1.1191406,0.30419922
1485644721546,0.3671875,-1.1625977,0.34423828
