gyroscope ,,,
Timestamp (ms) , x-gyro (deg/s), y-gyro (deg/s), z-gyro (deg/s) 
1485644721740,432.68292,396.89026,443.90244
1485644721742,443.23172,383.90244,430
1485644721747,450.48782,350.97562,408.5366
1485644721752,443.7195,329.2683,351.15854
1485644721758,411.5854,262.37805,269.7561
1485644721762,364.02438,173.41464,182.31708
1485644721768,301.40244,111.64635,112.98781
1485644721772,262.2561,54.512196,45.30488
1485644721777,214.93903,-53.048782,-7.987805
1485644721783,179.63416,-120.426834,-63.35366
1485644721790,115.30488,-156.09756,-116.40244
1485644721793,86.951225,-267.62195,-172.37805
1485644721799,82.560974,-334.14636,-221.09756
1485644721803,56.95122,-379.87805,-240.18294
1485644721808,38.170734,-451.2805,-233.84148
1485644721813,-26.09756,-534.5122,-214.32927
1485644721818,-134.7561,-640.8537,-191.58537
1485644721822,-263.17075,-839.45123,-175.12195
1485644721828,-392.86588,-981.8293,-156.21951
1485644721832,-528.2317,-1127.561,-136.34146
1485644721838,-737.8049,-1295.8536,-116.64635
1485644721843,-819.39026,-1409.5732,-104.39024
1485644721849,-855.8537,-1461.7074,-105.85366
1485644721853,-864.14636,-1471.4635,-118.17074
1485644721857,-822.1951,-1453.9025,-128.59756
1485644721863,-781.95123,-1402.8049,7.7439027
1485644721868,-732.62195,-1334.7561,88.47561
1485644721873,-632.2561,-1245.5488,-69.39024
1485644721879,-523.2317,-1133.9025,-148.78049
1485644721884,-429.81708,-996.5244,-124.32927
1485644721888,-315.73172,-849.3293,-80.060974
1485644721892,-170.18294,-703.5976,-68.23171
1485644721898,-28.47561,-571.40247,-47.317074
1485644721903,81.34147,-481.15854,-39.02439
1485644721909,139.2683,-447.37805,-38.414635
1485644721913,119.81708,-449.45123,-14.146341
1485644721919,61.219513,-471.7683,33.841465
1485644721923,-5.121951,-499.57318,77.80488
1485644721929,-79.45122,-526.15857,104.57317
1485644721936,-147.98781,-547.0732,121.70732
1485644721938,-199.5122,-555.73175,137.5
1485644721944,-230.30489,-551.40247,151.7683
1485644721948,-234.81708,-532.13416,166.03659
1485644721954,-222.74391,-496.46344,179.7561
1485644721958,-140.85367,-407.98782,193.65854
1485644721963,181.15854,-117.07317,208.47562
1485644721969,209.14635,139.93903,222.31708
1485644721973,269.63416,146.70732,234.0244
1485644721979,231.7683,58.414635,244.14635
1485644721986,40.121952,1.9512196,251.82927
1485644721989,-53.292683,-44.573174,262.19513
1485644721995,-5.121951,-33.35366,271.09756
1485644721998,17.134148,-7.5609756,277.2561
1485644722004,24.87805,1.5853659,281.2195
1485644722008,-5.365854,-16.646341,286.52438
1485644722014,-52.92683,-54.390244,292.62195
1485644722018,-69.69512,-70.36585,299.63416
1485644722024,-56.341465,-47.37805,306.5854
1485644722029,-23.47561,-17.37805,311.7683
1485644722033,5.0609756,5.182927,313.65854
1485644722039,20.670732,18.963415,312.31708
1485644722043,30.792685,26.95122,308.59756
1485644722049,31.09756,29.32927,302.92685
1485644722054,24.634148,27.804878,296.2805
1485644722059,15.121951,24.817074,289.14636
1485644722064,0.24390244,17.5,280.42685
1485644722070,-24.085367,5.5487804,271.40244
1485644722074,-53.78049,-11.158537,260.5488
1485644722081,-79.939026,-28.292683,247.62196
1485644722084,-97.743904,-35.365856,257.37805
1485644722089,-106.64635,-33.59756,271.09756
1485644722095,-105.36585,-25.42683,159.45122
1485644722099,-96.52439,-10.426829,171.34146
1485644722105,-82.926834,10.97561,19.207317
1485644722109,-66.46342,35.487804,-15.304878
1485644722114,-49.939026,57.012196,47.682926
1485644722120,-36.82927,73.90244,75.48781
1485644722124,-26.40244,87.98781,108.90244
1485644722133,-19.817074,100.06098,107.07317
1485644722134,-15.97561,112.19512,90.54878
1485644722142,-14.756098,122.5,84.756096
1485644722144,-18.109756,129.32927,87.13415
1485644722150,-25.487806,132.62195,92.31708
1485644722155,-33.963417,134.57318,98.47561
1485644722159,-42.560978,136.64635,103.10976
1485644722165,-47.80488,141.7683,104.268295
1485644722169,-50.365856,148.96342,105.30488
1485644722175,-52.439026,155.30489,108.04878
1485644722180,-54.02439,156.5244,111.03659
1485644722184,50.975613,194.2683,112.68293
1485644722190,259.08536,284.08536,113.597565
1485644722194,119.20732,464.7561,114.02439
1485644722200,60.365856,386.2805,113.597565
1485644722205,67.80488,295.2439,113.10976
1485644722210,-4.390244,261.0366,112.80488
1485644722215,-35.73171,224.69513,112.86586
1485644722221,-8.902439,187.62195,113.96342
1485644722225,-4.8170733,187.86586,114.451225
1485644722229,-18.841463,195.06097,114.69512
